participantId,idx,bot_detection,reported_ideology
16872CFD9F1D46C688288D9FC584C3B3,0,False,-0.4
16872CFD9F1D46C688288D9FC584C3B3,1,False,-0.4
16872CFD9F1D46C688288D9FC584C3B3,2,False,0.3
176175CB71BE4F899BC90A1854018057,0,False,-1.0
176175CB71BE4F899BC90A1854018057,1,False,2.0
176175CB71BE4F899BC90A1854018057,2,False,-1.0
17B34D2DB344465A80C2901BFC147EF1,0,True,-0.5
17B34D2DB344465A80C2901BFC147EF1,1,False,-1.0
17B34D2DB344465A80C2901BFC147EF1,2,False,0.9
18E205D458524208BC0F1FACFF0385B6,0,False,-1.5
18E205D458524208BC0F1FACFF0385B6,1,False,-0.7
18E205D458524208BC0F1FACFF0385B6,2,True,0.0
19549E6E0772430EB55490ADCBD0E961,0,True,-0.9
19549E6E0772430EB55490ADCBD0E961,1,False,0.0
19549E6E0772430EB55490ADCBD0E961,2,True,1.1
1BEE26BAEA874C5694A496B20729F4BE,0,False,0.0
1BEE26BAEA874C5694A496B20729F4BE,1,False,-1.0
1BEE26BAEA874C5694A496B20729F4BE,2,False,0.0
1C9B715F8A59487A9E65FF4FBB0B3872,0,True,-0.5
1C9B715F8A59487A9E65FF4FBB0B3872,1,False,-1.3
1C9B715F8A59487A9E65FF4FBB0B3872,2,True,-0.6
1E145FF2CCA649228957F6052F792FBF,0,False,0.0
1E145FF2CCA649228957F6052F792FBF,1,False,0.0
1E145FF2CCA649228957F6052F792FBF,2,False,0.0
1F8FAFCF5442455CAF4C9CFF8620AB7E,0,False,1.0
1F8FAFCF5442455CAF4C9CFF8620AB7E,1,False,-1.0
1F8FAFCF5442455CAF4C9CFF8620AB7E,2,False,-1.0
1FDD942971B14DB2A198ED8568924B7C,0,False,0.5
1FDD942971B14DB2A198ED8568924B7C,1,False,1.9
1FDD942971B14DB2A198ED8568924B7C,2,False,0.5
204DDB30D16B474BAA54EB6C80153D5B,0,True,0.0
204DDB30D16B474BAA54EB6C80153D5B,1,False,0.0
204DDB30D16B474BAA54EB6C80153D5B,2,True,0.0
21EBD0BDC95146B39321211CC7438FEF,0,True,-0.3
21EBD0BDC95146B39321211CC7438FEF,1,False,-2.0
21EBD0BDC95146B39321211CC7438FEF,2,True,0.7
2216D373C920464C85EAB9AB0267D548,0,False,0.0
2216D373C920464C85EAB9AB0267D548,1,False,0.0
2216D373C920464C85EAB9AB0267D548,2,False,0.0
2218182CD823447B9AC2ABD92512ACC4,0,False,0.0
2218182CD823447B9AC2ABD92512ACC4,1,False,0.0
